이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
메가MGC커피 건대입구역점, 서울 광진구 자양동 7-25
샌드커피 논탄토, 서울 마포구 동교동 153-14
카페바룐, 서울 강남구 율현동 298-13
커피빈 선릉로93길점, 서울 강남구 역삼동 696-42
컴포즈커피 강일리버파크점, 서울 강동구 강일동 675-1
마리커피1986, 서울 서대문구 홍제동 215
더헤아림, 서울 마포구 공덕동 168
오아시스 한남점, 서울 용산구 한남동 745-10
카페모아나, 서울 마포구 공덕동 463
커피정류장, 서울 관악구 신림동 100-14
라브리, 서울 중구 신당동 154-47
더치앤빈 이수점, 서울 동작구 사당동 139-36
오지오커피, 서울 강서구 마곡동 774-2
마뉴상점, 서울 강북구 미아동 1357-4
백억커피 문정점, 서울 송파구 문정동 643-1
샤빙 도봉본점, 서울 도봉구 쌍문동 69-33
설빙 석촌호수동호점, 서울 송파구 송파동 31
쫀디 안국점, 서울 종로구 안국동 170
파파카페, 서울 금천구 독산동 1031-27
보디가드, 서울 강남구 신사동 662-20
팔공티 염창점, 서울 강서구 염창동 244-15
카페리빈 갤러리아포레점, 서울 성동구 성수동1가 685-696
디어마이플라워, 서울 강남구 역삼동 696-11
여우비포차, 서울 강서구 방화동 249-202
로드샌드위치 서울역점, 서울 중구 중림동 128-104
원즈아토, 서울 동작구 상도동 496-22
심플리 에스프레소바, 서울 영등포구 양평동4가 160-2
초이커피숍, 서울 중구 남대문로5가 84-11
매머드익스프레스 동역삼로점, 서울 강남구 역삼동 733-27
구와구, 서울 영등포구 양평동2가 34-3
레드다이스, 서울 종로구 명륜3가 127
땡스커피, 서울 중구 남대문로5가 631
몬떼비서울, 서울 중구 북창동 42-3
다향, 서울 강남구 역삼동 702-13
어벤더치커피 서울 동양미래대학점, 서울 구로구 고척동 76-153
아름다운샘, 서울 종로구 내수동 72
카페 테이크알, 서울 강북구 미아동 187-42
나우커피 서울가양점, 서울 강서구 가양동 1474
가비드살롱, 서울 은평구 갈현동 476-10
키노빈스 동묘점, 서울 종로구 숭인동 234-55
드리즐러, 서울 영등포구 양평동2가 1-1
트리니다드코리아, 서울 영등포구 영등포동 618-496
준, 서울 강남구 일원동 666-5
카페인중독 문정점(휴업중), 서울 송파구 문정동 67-8
서울셀렉션, 서울 종로구 사간동 105-2
스타벅스 갤러리아팰리스점, 서울 송파구 잠실동 40
히치커피, 서울 송파구 문정동 58-16
소로차실, 서울 강남구 청담동 119-8
메가MGC커피 창동이마트점, 서울 도봉구 창동 333-2
블랑제리아벡, 서울 송파구 삼전동 179-3
블루포트 고려대학교 SK미래관, 서울 성북구 안암동5가 1-2
에이치스컴퍼니, 서울 관악구 봉천동 64-5
에이치이에이, 서울 양천구 신월동 518-2
더 찬란한 장안점, 서울 동대문구 장안동 340-1
카페도란도란, 서울 강서구 공항동 737
비틀즈, 서울 종로구 숭인동 212-5
쥬베, 서울 관악구 봉천동 466-74
카페55, 서울 송파구 문정동 69-2
24cafe 33커피 상왕십리역본점, 서울 성동구 하왕십리동 890-103
해머스미스커피 경찰병원역점, 서울 송파구 가락동 129-10
저스트시즌, 서울 도봉구 창동 650-13
써클커피 바, 서울 송파구 오금동 40-10
로버스트파트너스 유한회사, 서울 강남구 논현동 125-7
날보러와요, 서울 노원구 월계동 276-20
커피미학, 서울 용산구 이촌동 300-268
르브리에, 서울 송파구 송파동 46-19
리틀베케이션, 서울 중구 을지로1가 37
메가MGC커피 시흥사거리점, 서울 금천구 시흥동 994-7
밀화당 강서직영점, 서울 강서구 마곡동 801
마쿠렌, 서울 송파구 문정동 644
카페도구로, 서울 서초구 방배동 474-7
고또, 서울 중구 남대문로5가 84-11
커피하랑, 서울 마포구 상암동 1601
두마땡, 서울 종로구 숭인동 759
빽다방 영등포도림점, 서울 영등포구 도림동 196-1
안다미로팬케이크 성신여대점, 서울 성북구 동선동1가 85-80
메가MGC커피 화곡곰달래점, 서울 강서구 화곡동 871-6
커피빈 몽촌토성역점, 서울 송파구 방이동 44-2
부니기, 서울 마포구 합정동 439-8
메가MGC커피 충무아트센터점, 서울 중구 신당동 247-2
카페유앤아이, 서울 노원구 상계동 173-1
가람, 서울 도봉구 도봉동 620-18
와일드플라워, 서울 마포구 연남동 254-3
시라스, 서울 관악구 봉천동 930-36
하루커피, 서울 은평구 응암동 745-2
포터 카페, 서울 마포구 서교동 369-1
더빈마켓, 서울 금천구 독산동 1009
카페게이트 신도림점, 서울 구로구 신도림동 309-6
포프트커피, 서울 영등포구 영등포동1가 81
하나로커피, 서울 종로구 예지동 269-29
카페 다수, 서울 성북구 정릉동 402-105
운미담, 서울 송파구 문정동 46-18
더마실, 서울 광진구 중곡동 191-98
컴포즈커피 신월5동점, 서울 양천구 신월동 23-14
제이든커피, 서울 강동구 상일동 302-8
에스엘티에프엔비, 서울 용산구 이태원동 127-28
중곡동커피집, 서울 광진구 중곡동 39-2
해리피아, 서울 종로구 종로3가 13-1
카페아리에따, 서울 종로구 혜화동 53-21
이칠이오, 서울 도봉구 창동 552-45
이디야커피 등촌역점, 서울 강서구 등촌동 509-1
더마틴, 서울 종로구 창성동 154
설빙 서울명동2호점, 서울 중구 명동2가 4-2
카페인중독 노원점, 서울 노원구 하계동 72
서교동, 서울 마포구 서교동 449-7
카페애플민트, 서울 영등포구 대림동 993-58
카페수, 서울 노원구 월계동 780
해리스카페, 서울 서초구 양재동 401-6
엠플러스엠, 서울 강남구 역삼동 684-22
다온, 서울 금천구 시흥동 1015
백억커피 잠실새내점, 서울 송파구 잠실동 205
커스텀커피 개포래미안포레스트점, 서울 강남구 개포동 1282
O2O카페, 서울 영등포구 대림동 701-1
메가MGC커피 서여의도점, 서울 영등포구 여의도동 13-22
스윙커피, 서울 강동구 길동 123-3
빽다방 광진이튼1차점, 서울 광진구 자양동 510-5
돈토야, 서울 은평구 증산동 184-9
핸드크라프트, 서울 서초구 서초동 1341-7
청량리커피바이배터리스튜디오, 서울 동대문구 제기동 630-8
이디야커피 미아중앙점, 서울 강북구 미아동 134-39
데이롱카페 서초우면점, 서울 서초구 우면동 2-9
빽다방 송파하비오점, 서울 송파구 문정동 618
더까까주까&에그카페24 석계점, 서울 노원구 월계동 68-65
타코랑캔이랑 2호점, 서울 노원구 공릉동 371-6
24시무인셀프카페 원효로점, 서울 용산구 원효로4가 179
카페벤트, 서울 노원구 상계동 134-38
카페인싸, 서울 강서구 화곡동 960
블뤼엔, 서울 서대문구 창천동 72-22
커피가게, 서울 강북구 미아동 745-100
빽다방 빵연구소 연세대SK국제학사점, 서울 서대문구 신촌동 134
읍천리382 마곡점, 서울 강서구 마곡동 798-2
셀렉토커피 등촌점, 서울 강서구 등촌동 514-9
오블롱, 서울 성북구 삼선동5가 279
커피빈 논현팍스타워점, 서울 강남구 논현동 231-9
S.caf, 서울 용산구 용산동2가 14-3
봄패스, 서울 광진구 광장동 581
까페마로니에, 서울 강남구 역삼동 682-8
프루코&드루와, 서울 동작구 사당동 1040-4
빈스바네스 청량리점, 서울 동대문구 청량리동 311
여왕의브런치, 서울 강남구 역삼동 719-24
다라커피, 서울 마포구 도화동 563
크로플덕오리아가씨 서울대입구점, 서울 관악구 봉천동 10-41
오슬리, 서울 강서구 마곡동 728-208
까몽, 서울 노원구 공릉동 499-5
힐링타로카페, 서울 송파구 풍납동 153-23
과일카페서리, 서울 강남구 신사동 585-15
이디야커피 자양우성점, 서울 광진구 자양동 608-21
달리는커피 서울응암1호점, 서울 은평구 응암동 721-10
디스이즈마인, 서울 중랑구 신내동 494-56
스타벅스 마포용강동점, 서울 마포구 용강동 112-2
윈디시카고 상암점, 서울 마포구 상암동 1680
에그블랑, 서울 영등포구 영등포동4가 442
매니비니, 서울 종로구 와룡동 33
카페앤아트, 서울 동작구 동작동 산 41-2
포킵시, 서울 중구 신당동 826-1
바나프레소 사당역점, 서울 서초구 방배동 444-15
참새과자방, 서울 양천구 신정동 889-15
매머드커피 장교빌딩점, 서울 중구 장교동 1
같이가자 가치가자, 서울 용산구 용문동 25-9
꿈틀허브, 서울 서대문구 홍은동 408-3
리치카페, 서울 강남구 신사동 545-7
문화사, 서울 강북구 수유동 695-7
명동당, 서울 중구 명동2가 55-12
서울휴게소, 서울 용산구 원효로2가 91-3
스타벅스 홍대역8번출구점, 서울 마포구 동교동 165-1
듀드롭르봉땅, 서울 성북구 정릉동 227-72
맬크, 서울 성북구 동선동5가 41-1
카페 라임라빋, 서울 구로구 구로동 30-29
컴포즈커피 봉천점, 서울 관악구 봉천동 501-2
아람앤아델라, 서울 강남구 삼성동 60-17
카페성상, 서울 송파구 송파동 8-5
에스프레소 그자체 연남점, 서울 마포구 연남동 366-27
더벤티 항동SKV1점, 서울 구로구 항동 산 51-1
마이웨이, 서울 영등포구 여의도동 44-35
클로리스 신촌점, 서울 서대문구 창천동 13-35
버터조셉, 서울 중구 중림동 149
카페가가, 서울 서대문구 홍제동 287-114
커피니 청량리점, 서울 동대문구 용두동 786
컴플리트카페, 서울 강북구 번동 462-104
달리는커피 구의1호점, 서울 광진구 구의동 668
백호명리카페, 서울 중구 충무로4가 5-3
할리스 이수역점, 서울 동작구 사당동 1007-41
굿타운 카페, 서울 송파구 오금동 84-5
솔커피숍, 서울 중구 산림동 207-1
달롱도르요거트아이스크림 홍대점, 서울 마포구 동교동 182-7
로덴드론 동교점, 서울 마포구 동교동 179-38
그라츠커피랩 위례점, 서울 송파구 장지동 895
데이롱 카페 우장산점, 서울 강서구 내발산동 763
크로플덕오리아가씨 마곡점, 서울 강서구 방화동 288-15
엠아이피, 서울 노원구 공릉동 440-16
솔버 2호점, 서울 광진구 화양동 48-4
양지다방, 서울 영등포구 당산동2가 162-7
쁘띠아르브르, 서울 용산구 용문동 23-4
구구구, 서울 강남구 신사동 552-5
버터룸, 서울 성북구 동선동3가 187
카페오가닉 여의도본점, 서울 영등포구 여의도동 13-31
리오커피, 서울 성동구 성수동2가 271-18
메리푸리데이, 서울 은평구 갈현동 402-29
룸즈에이 대학로점, 서울 종로구 동숭동 1-65
카페리브93, 서울 광진구 구의동 217-1
멀티커피 성신여대역점, 서울 성북구 동선동1가 4-13
우리동네라운지 송파점, 서울 송파구 문정동 150
에이미스커피 학동점, 서울 강남구 논현동 209
청록원, 서울 강북구 우이동 266-74
타임커피숍, 서울 강북구 미아동 131-9
커피이즈&슈니, 서울 성동구 행당동 168-151
봄카페, 서울 도봉구 창동 1-6
마마스 커피앤 쥬스, 서울 강북구 미아동 323-51
MJ194, 서울 강남구 도곡동 457-5
오늘의 당도, 서울 관악구 신림동 751-2
하늘원두커피점, 서울 영등포구 당산동2가 147-9
마사비스 카페 연남점, 서울 마포구 연남동 239-49
팔공티 신촌점, 서울 서대문구 창천동 62-4
카페슬로우봉봉, 서울 동대문구 전농동 184
부에나비스타, 서울 서대문구 충정로2가 103
스몰커피바, 서울 마포구 망원동 338-76
달빛거북이, 서울 구로구 고척동 98-85
공차 수락산역점, 서울 노원구 상계동 1132-15
빽다방 압구정역점, 서울 강남구 신사동 579
아스테릭카페, 서울 서초구 방배동 539-24
코페아커피 서대문점, 서울 서대문구 충정로3가 222
메가MGC커피 문래에이스하이테크점, 서울 영등포구 문래동3가 55-20
요거트아이스크림의정석 압구정로데오점, 서울 강남구 신사동 660-17
루크멜리, 서울 강서구 방화동 829-5
이니스, 서울 강동구 천호동 34-8
Cafe de cine, 서울 서초구 서초동 1442-19
아나트라, 서울 용산구 한강로3가 40-124
블루포트 장로회신학대학교 도서관점, 서울 광진구 광장동 353
메가MGC커피 명동길점, 서울 중구 명동1가 34-1
코피티암커피 경복궁점, 서울 종로구 통의동 35-29
커피브륄레, 서울 관악구 신림동 1680-31
다크그림, 서울 강남구 논현동 201-2
커피랑도서관 반포점, 서울 서초구 반포동 58-9
마을, 서울 영등포구 문래동6가 29
커피플라잇, 서울 송파구 가락동 186-2
카페오픈24 아차산점, 서울 광진구 중곡동 107-41
VOL, 서울 도봉구 쌍문동 422-84
에그카페, 서울 은평구 녹번동 277
수까페, 서울 강남구 수서동 734
매머드익스프레스 휴포레점, 서울 동작구 신대방동 686-48
오복커피호프, 서울 중랑구 면목동 657-42
에그카페24, 서울 구로구 고척동 52-383
플랩, 서울 종로구 수송동 110
공차 오류동역점, 서울 구로구 오류동 54-9
커피인형, 서울 노원구 상계동 1267
카페테이블, 서울 광진구 중곡동 117-23
아로마커피, 서울 강남구 역삼동 732-21
심프레, 서울 금천구 가산동 673
올어라운드유, 서울 동작구 사당동 223-1
서리등커피부엌, 서울 은평구 역촌동 28
철스디저트다방, 서울 금천구 시흥동 856-21
백곰커피, 서울 강북구 수유동 222-55
메가MGC커피 반포고투몰점, 서울 서초구 잠원동 68-17
컴포즈커피 개봉한진점, 서울 구로구 개봉동 359-40
센버스, 서울 성동구 성수동2가 278-35
카페산울림, 서울 마포구 서교동 327-9
스타벅스 서울교대점, 서울 서초구 서초동 1623-1
카페프리헷 종로무악점, 서울 종로구 무악동 46-946
광샌토, 서울 종로구 청진동 146
엔제리너스 건대역점, 서울 광진구 화양동 6-1
나인나인, 서울 마포구 서교동 370-12
메트로폴리스, 서울 노원구 공릉동 577-13
홀스 석계점, 서울 노원구 월계동 55-14
